Datum;Zeit;Kohlendioxid (CO2)[mg/m³];Temperatur[°C];Luftdruck[hPa]
14.04.2020;01:00;752;3,4;1024
14.04.2020;02:00;756;2,4;1024
14.04.2020;03:00;761;1,1;1024
14.04.2020;04:00;769;0,4;1024
14.04.2020;05:00;779;-0,1;1024
14.04.2020;06:00;812;-1,9;1024
14.04.2020;07:00;801;-0,1;1025
14.04.2020;08:00;767;3,4;1025
14.04.2020;09:00;752;5,4;1025
14.04.2020;10:00;750;5,6;1026
14.04.2020;11:00;744;6,4;1026
14.04.2020;12:00;743;7,7;1026
14.04.2020;13:00;742;8,4;1026
14.04.2020;14:00;741;9,0;1026
14.04.2020;15:00;742;9,9;1026
14.04.2020;16:00;741;10,6;1025
14.04.2020;17:00;741;11,2;1025
14.04.2020;18:00;741;11,4;1025
14.04.2020;19:00;743;10,4;1025
14.04.2020;20:00;768;6,4;1025
14.04.2020;21:00;787;4,0;1026
14.04.2020;22:00;802;2,4;1026
14.04.2020;23:00;833;0,7;1026
14.04.2020;24:00;844;-0,2;1027
15.04.2020;01:00;861;-1,0;1026
15.04.2020;02:00;859;-1,5;1026
15.04.2020;03:00;869;-2,2;1026
15.04.2020;04:00;906;-2,3;1026
15.04.2020;05:00;888;-2,5;1026
15.04.2020;06:00;879;-2,6;1026
15.04.2020;07:00;902;-1,6;1026
15.04.2020;08:00;868;1,2;1027
15.04.2020;09:00;831;4,6;1027
15.04.2020;10:00;780;8,9;1026
15.04.2020;11:00;744;10,8;1026
15.04.2020;12:00;740;11,8;1026
15.04.2020;13:00;739;13,2;1025
15.04.2020;14:00;735;14,4;1024
15.04.2020;15:00;734;15,5;1024
15.04.2020;16:00;733;15,2;1023
15.04.2020;17:00;731;15,6;1022
15.04.2020;18:00;730;16,0;1022
15.04.2020;19:00;726;14,6;1022
15.04.2020;20:00;778;10,4;1022
15.04.2020;21:00;805;8,0;1022
15.04.2020;22:00;831;5,8;1022
15.04.2020;23:00;854;4,4;1022
15.04.2020;24:00;880;3,2;1022
16.04.2020;01:00;892;2,4;1021
16.04.2020;02:00;900;1,6;1021
16.04.2020;03:00;918;0,8;1020
16.04.2020;04:00;928;0,2;1020
16.04.2020;05:00;931;-0,4;1020
16.04.2020;06:00;936;-0,8;1020
16.04.2020;07:00;968;0,6;1020
16.04.2020;08:00;890;6,0;1019
16.04.2020;09:00;839;10,1;1019
16.04.2020;10:00;764;13,6;1019
16.04.2020;11:00;759;16,2;1018
16.04.2020;12:00;761;18,2;1018
16.04.2020;13:00;758;19,6;1017
16.04.2020;14:00;750;20,6;1017
16.04.2020;15:00;748;21,6;1016
16.04.2020;16:00;732;22,6;1016
16.04.2020;17:00;727;23,1;1015
16.04.2020;18:00;728;22,6;1015
16.04.2020;19:00;736;20,9;1015
16.04.2020;20:00;774;16,0;1015
16.04.2020;21:00;804;12,8;1015
16.04.2020;22:00;840;10,8;1016
16.04.2020;23:00;875;9,8;1016
16.04.2020;24:00;958;7,9;1016
17.04.2020;01:00;916;7,1;1017
17.04.2020;02:00;936;6,4;1017
17.04.2020;03:00;974;6,0;1017
17.04.2020;04:00;953;5,0;1017
17.04.2020;05:00;948;5,2;1017
17.04.2020;06:00;965;5,0;1017
17.04.2020;07:00;947;6,6;1018
17.04.2020;08:00;827;11,0;1018
17.04.2020;09:00;766;13,3;1017
17.04.2020;10:00;757;15,2;1017
17.04.2020;11:00;747;18,4;1017
17.04.2020;12:00;738;21,1;1017
17.04.2020;13:00;736;21,7;1016
17.04.2020;14:00;729;22,8;1016
17.04.2020;15:00;727;23,2;1015
17.04.2020;16:00;729;23,2;1014
17.04.2020;17:00;728;24,0;1014
17.04.2020;18:00;726;24,2;1014
17.04.2020;19:00;726;22,0;1014
17.04.2020;20:00;751;19,4;1014
17.04.2020;21:00;742;18,2;1015
17.04.2020;22:00;754;16,2;1015
17.04.2020;23:00;760;15,1;1015
17.04.2020;24:00;814;12,0;1016
18.04.2020;01:00;846;10,8;1016
18.04.2020;02:00;832;10,1;1016
18.04.2020;03:00;840;8,7;1015
18.04.2020;04:00;856;8,2;1016
18.04.2020;05:00;875;7,8;1016
18.04.2020;06:00;892;6,8;1016
18.04.2020;07:00;849;8,8;1016
18.04.2020;08:00;783;11,6;1016
18.04.2020;09:00;773;14,6;1016
18.04.2020;10:00;753;17,6;1016
18.04.2020;11:00;736;18,3;1016
18.04.2020;12:00;734;19,8;1016
18.04.2020;13:00;730;20,2;1016
18.04.2020;14:00;730;20,6;1015
18.04.2020;15:00;729;22,7;1015
18.04.2020;16:00;726;23,8;1014
18.04.2020;17:00;733;22,2;1014
18.04.2020;18:00;739;16,3;1016
18.04.2020;19:00;740;14,7;1016
18.04.2020;20:00;767;14,3;1016
18.04.2020;21:00;753;13,6;1016
18.04.2020;22:00;816;12,8;1016
18.04.2020;23:00;846;12,2;1016
18.04.2020;24:00;855;11,4;1016
19.04.2020;01:00;867;10,2;1016
19.04.2020;02:00;907;9,4;1016
19.04.2020;03:00;937;9,3;1016
19.04.2020;04:00;979;9,0;1017
19.04.2020;05:00;880;9,7;1017
19.04.2020;06:00;889;10,0;1017
19.04.2020;07:00;840;10,2;1018
19.04.2020;08:00;778;10,0;1018
19.04.2020;09:00;754;9,8;1018
19.04.2020;10:00;745;10,8;1018
19.04.2020;11:00;733;13,1;1019
19.04.2020;12:00;730;13,6;1019
19.04.2020;13:00;732;12,6;1019
19.04.2020;14:00;727;12,8;1019
19.04.2020;15:00;726;13,4;1019
19.04.2020;16:00;725;13,8;1018
19.04.2020;17:00;724;14,6;1018
19.04.2020;18:00;726;14,9;1018
19.04.2020;19:00;730;14,6;1018
19.04.2020;20:00;736;13,1;1019
19.04.2020;21:00;738;11,9;1020
19.04.2020;22:00;743;10,2;1020
19.04.2020;23:00;745;9,4;1020
19.04.2020;24:00;746;9,0;1020
20.04.2020;01:00;746;8,4;1020
20.04.2020;02:00;747;8,0;1020
20.04.2020;03:00;753;7,0;1020
20.04.2020;04:00;754;6,4;1020
20.04.2020;05:00;759;5,6;1020
20.04.2020;06:00;767;4,7;1020
20.04.2020;07:00;748;6,6;1021
20.04.2020;08:00;743;8,5;1021
20.04.2020;09:00;739;10,0;1021
20.04.2020;10:00;736;11,4;1020
20.04.2020;11:00;734;12,8;1020
20.04.2020;12:00;733;14,0;1020
20.04.2020;13:00;730;15,2;1019
20.04.2020;14:00;727;16,2;1018
20.04.2020;15:00;726;16,6;1018
20.04.2020;16:00;726;16,5;1017
20.04.2020;17:00;726;16,1;1017
20.04.2020;18:00;728;15,5;1017
20.04.2020;19:00;731;14,6;1018
20.04.2020;20:00;737;13,2;1018
20.04.2020;21:00;740;12,1;1019
20.04.2020;22:00;743;11,0;1019
20.04.2020;23:00;745;10,4;1019
20.04.2020;24:00;749;9,6;1019
21.04.2020;01:00;756;8,4;1019
21.04.2020;02:00;753;8,0;1019
21.04.2020;03:00;753;7,4;1019
21.04.2020;04:00;752;7,0;1019
21.04.2020;05:00;752;6,6;1018
21.04.2020;06:00;752;6,2;1018
21.04.2020;07:00;750;7,2;1019
21.04.2020;08:00;745;8,9;1019
21.04.2020;09:00;740;10,9;1018
21.04.2020;10:00;736;12,8;1018
21.04.2020;11:00;733;14,4;1018
21.04.2020;12:00;731;15,9;1018
21.04.2020;13:00;728;17,0;1017
21.04.2020;14:00;727;17,7;1017
21.04.2020;15:00;727;18,0;1017
21.04.2020;16:00;725;18,3;1017
21.04.2020;17:00;725;18,2;1017
21.04.2020;18:00;725;17,8;1017
21.04.2020;19:00;728;16,8;1017
21.04.2020;20:00;733;15,4;1018
21.04.2020;21:00;736;14,3;1018
21.04.2020;22:00;739;13,3;1019
21.04.2020;23:00;743;12,2;1019
21.04.2020;24:00;750;11,0;1020
22.04.2020;01:00;759;9,2;1020
22.04.2020;02:00;757;8,9;1020
22.04.2020;03:00;764;7,8;1020
22.04.2020;04:00;760;8,0;1020
22.04.2020;05:00;772;6,2;1020
22.04.2020;06:00;769;6,5;1020
22.04.2020;07:00;755;8,5;1021
22.04.2020;08:00;745;10,9;1021
22.04.2020;09:00;740;12,6;1021
22.04.2020;10:00;735;14,6;1021
22.04.2020;11:00;733;16,0;1021
22.04.2020;12:00;732;17,2;1020
22.04.2020;13:00;728;18,5;1020
22.04.2020;14:00;728;19,4;1020
22.04.2020;15:00;728;20,0;1019
22.04.2020;16:00;728;20,0;1019
22.04.2020;17:00;726;19,7;1019
22.04.2020;18:00;727;19,2;1019
22.04.2020;19:00;728;18,2;1019
22.04.2020;20:00;733;16,6;1020
22.04.2020;21:00;736;15,0;1020
22.04.2020;22:00;743;13,2;1021
22.04.2020;23:00;750;11,8;1021
22.04.2020;24:00;758;10,4;1021
23.04.2020;01:00;783;8,8;1021
23.04.2020;02:00;813;6,4;1022
23.04.2020;03:00;825;4,6;1022
23.04.2020;04:00;864;3,4;1022
23.04.2020;05:00;875;2,5;1022
23.04.2020;06:00;914;1,8;1022
23.04.2020;07:00;871;5,2;1022
23.04.2020;08:00;818;9,0;1022
23.04.2020;09:00;771;13,8;1022
23.04.2020;10:00;738;17,0;1022
23.04.2020;11:00;730;17,5;1022
23.04.2020;12:00;728;18,6;1021
23.04.2020;13:00;726;19,5;1021
23.04.2020;14:00;724;20,9;1020
23.04.2020;15:00;725;21,6;1019
23.04.2020;16:00;724;21,8;1018
23.04.2020;17:00;723;22,2;1018
23.04.2020;18:00;722;23,0;1017
23.04.2020;19:00;723;21,5;1017
23.04.2020;20:00;761;15,4;1017
23.04.2020;21:00;811;11,5;1017
23.04.2020;22:00;854;8,8;1017
23.04.2020;23:00;859;8,0;1017
23.04.2020;24:00;902;6,0;1017
24.04.2020;01:00;906;5,2;1016
24.04.2020;02:00;898;4,3;1016
24.04.2020;03:00;927;3,4;1016
24.04.2020;04:00;939;3,0;1015
24.04.2020;05:00;967;2,9;1014
24.04.2020;06:00;963;3,0;1014
24.04.2020;07:00;924;4,0;1014
24.04.2020;08:00;860;7,1;1014
24.04.2020;09:00;809;11,6;1014
24.04.2020;10:00;771;15,2;1014
24.04.2020;11:00;748;17,2;1013
24.04.2020;12:00;730;20,2;1012
24.04.2020;13:00;725;20,2;1012
24.04.2020;14:00;725;21,0;1012
24.04.2020;15:00;728;21,2;1011
24.04.2020;16:00;730;20,8;1011
24.04.2020;17:00;730;20,7;1010
24.04.2020;18:00;732;20,2;1010
24.04.2020;19:00;744;18,4;1010
24.04.2020;20:00;749;16,2;1010
24.04.2020;21:00;750;14,4;1011
24.04.2020;22:00;786;11,0;1011
24.04.2020;23:00;800;9,4;1011
24.04.2020;24:00;829;7,8;1011
25.04.2020;01:00;816;6,8;1012
25.04.2020;02:00;834;5,4;1012
25.04.2020;03:00;832;4,4;1012
25.04.2020;04:00;842;3,5;1012
25.04.2020;05:00;842;2,8;1013
25.04.2020;06:00;770;4,9;1013
25.04.2020;07:00;752;6,3;1014
25.04.2020;08:00;741;7,4;1014
25.04.2020;09:00;734;8,6;1014
25.04.2020;10:00;732;9,8;1014
25.04.2020;11:00;730;11,2;1014
25.04.2020;12:00;727;13,0;1014
25.04.2020;13:00;725;14,1;1014
25.04.2020;14:00;722;15,0;1013
25.04.2020;15:00;721;16,0;1012
25.04.2020;16:00;719;16,2;1012
25.04.2020;17:00;720;16,4;1012
25.04.2020;18:00;718;16,2;1011
25.04.2020;19:00;718;15,2;1011
25.04.2020;20:00;738;12,2;1011
25.04.2020;21:00;776;8,9;1012
25.04.2020;22:00;810;6,7;1012
25.04.2020;23:00;842;5,6;1012
25.04.2020;24:00;851;4,4;1012
26.04.2020;01:00;882;3,4;1012
26.04.2020;02:00;886;2,8;1013
26.04.2020;03:00;867;1,6;1013
26.04.2020;04:00;890;1,1;1012
26.04.2020;05:00;913;0,6;1012
26.04.2020;06:00;929;0,5;1012
26.04.2020;07:00;905;2,4;1013
26.04.2020;08:00;812;7,2;1013
26.04.2020;09:00;773;11,2;1013
26.04.2020;10:00;742;14,6;1012
26.04.2020;11:00;724;16,4;1012
26.04.2020;12:00;720;16,9;1012
26.04.2020;13:00;717;17,6;1012
26.04.2020;14:00;718;18,5;1011
26.04.2020;15:00;718;19,2;1010
26.04.2020;16:00;719;19,6;1010
26.04.2020;17:00;717;19,6;1010
26.04.2020;18:00;718;21,0;1010
26.04.2020;19:00;718;19,2;1010
26.04.2020;20:00;736;14,9;1010
26.04.2020;21:00;776;10,8;1010
26.04.2020;22:00;805;8,6;1010
26.04.2020;23:00;825;7,1;1010
26.04.2020;24:00;858;5,6;1011
27.04.2020;01:00;881;4,5;1011
27.04.2020;02:00;898;3,6;1011
27.04.2020;03:00;926;2,7;1011
27.04.2020;04:00;892;2,4;1010
27.04.2020;05:00;928;1,7;1010
27.04.2020;06:00;909;1,7;1010
27.04.2020;07:00;892;4,8;1010
27.04.2020;08:00;846;9,0;1010
27.04.2020;09:00;786;12,7;1010
27.04.2020;10:00;761;15,0;1010
27.04.2020;11:00;751;17,4;1010
27.04.2020;12:00;755;19,0;1009
27.04.2020;13:00;734;20,4;1008
27.04.2020;14:00;721;21,8;1008
27.04.2020;15:00;713;21,1;1008
27.04.2020;16:00;713;21,4;1007
27.04.2020;17:00;714;21,8;1007
27.04.2020;18:00;715;20,8;1007
27.04.2020;19:00;726;18,6;1007
27.04.2020;20:00;749;16,2;1007
27.04.2020;21:00;779;13,0;1007
27.04.2020;22:00;819;10,4;1008
27.04.2020;23:00;846;9,0;1008
27.04.2020;24:00;856;7,6;1008
28.04.2020;01:00;886;6,6;1008
28.04.2020;02:00;920;5,8;1007
28.04.2020;03:00;923;5,1;1007
28.04.2020;04:00;948;4,5;1007
28.04.2020;05:00;955;4,2;1007
28.04.2020;06:00;951;4,4;1007
28.04.2020;07:00;907;6,7;1007
28.04.2020;08:00;902;8,4;1006
28.04.2020;09:00;884;10,1;1006
28.04.2020;10:00;800;12,3;1006
28.04.2020;11:00;768;13,0;1006
28.04.2020;12:00;766;13,0;1006
28.04.2020;13:00;744;13,6;1006
28.04.2020;14:00;749;15,1;1005
28.04.2020;15:00;750;15,7;1004
28.04.2020;16:00;724;15,0;1004
28.04.2020;17:00;715;16,3;1004
28.04.2020;18:00;719;15,7;1005
28.04.2020;19:00;726;14,4;1005
28.04.2020;20:00;746;13,6;1006
28.04.2020;21:00;784;11,9;1006
28.04.2020;22:00;738;12,4;1006
28.04.2020;23:00;794;9,6;1006
28.04.2020;24:00;837;8,3;1006
29.04.2020;01:00;856;8,3;1006
29.04.2020;02:00;854;7,6;1006
29.04.2020;03:00;927;6,4;1006
29.04.2020;04:00;894;6,4;1006
29.04.2020;05:00;888;6,5;1006
29.04.2020;06:00;893;7,2;1007
29.04.2020;07:00;893;8,6;1007
29.04.2020;08:00;748;11,6;1008
29.04.2020;09:00;728;13,4;1008
29.04.2020;10:00;719;14,0;1008
29.04.2020;11:00;716;15,5;1008
29.04.2020;12:00;717;16,4;1008
29.04.2020;13:00;713;16,8;1008
29.04.2020;14:00;712;16,6;1008
29.04.2020;15:00;712;16,6;1008
29.04.2020;16:00;716;16,2;1008
29.04.2020;17:00;717;16,2;1008
29.04.2020;18:00;720;15,6;1008
29.04.2020;19:00;720;15,6;1008
29.04.2020;20:00;728;14,0;1008
29.04.2020;21:00;735;12,6;1008
29.04.2020;22:00;733;13,0;1008
29.04.2020;23:00;732;12,8;1008
29.04.2020;24:00;737;12,4;1007
30.04.2020;01:00;739;12,0;1007
30.04.2020;02:00;742;11,3;1007
30.04.2020;03:00;746;10,9;1006
30.04.2020;04:00;750;10,7;1006
30.04.2020;05:00;745;10,6;1005
30.04.2020;06:00;746;10,8;1004
30.04.2020;07:00;746;10,9;1004
30.04.2020;08:00;742;11,2;1004
30.04.2020;09:00;728;11,2;1005
30.04.2020;10:00;721;12,6;1005
30.04.2020;11:00;-;-;-
30.04.2020;12:00;718;13,4;1005
30.04.2020;13:00;715;14,2;1005
30.04.2020;14:00;714;14,9;1005
30.04.2020;15:00;718;14,8;1004
30.04.2020;16:00;720;14,6;1004
30.04.2020;17:00;722;13,4;1003
30.04.2020;18:00;724;11,9;1003
30.04.2020;19:00;727;10,7;1003
30.04.2020;20:00;731;9,6;1004
30.04.2020;21:00;741;8,3;1004
30.04.2020;22:00;756;7,7;1004
30.04.2020;23:00;755;7,9;1004
30.04.2020;24:00;741;9,0;1004
01.05.2020;01:00;736;9,0;1004
01.05.2020;02:00;733;9,0;1004
01.05.2020;03:00;733;8,0;1004
01.05.2020;04:00;738;7,1;1005
01.05.2020;05:00;742;7,6;1004
01.05.2020;06:00;746;8,0;1004
01.05.2020;07:00;733;8,3;1004
01.05.2020;08:00;723;9,0;1005
01.05.2020;09:00;721;9,8;1004
01.05.2020;10:00;718;11,4;1004
01.05.2020;11:00;715;11,6;1004
01.05.2020;12:00;715;12,1;1004
01.05.2020;13:00;717;11,2;1003
01.05.2020;14:00;714;10,4;1003
01.05.2020;15:00;713;12,3;1003
01.05.2020;16:00;713;13,8;1003
01.05.2020;17:00;715;12,0;1003
01.05.2020;18:00;715;11,5;1003
01.05.2020;19:00;721;8,9;1004
01.05.2020;20:00;745;7,3;1004
01.05.2020;21:00;770;6,5;1004
01.05.2020;22:00;809;5,8;1005
01.05.2020;23:00;830;5,2;1005
01.05.2020;24:00;835;5,5;1006
02.05.2020;01:00;849;6,1;1006
02.05.2020;02:00;853;6,0;1006
02.05.2020;03:00;807;6,2;1006
02.05.2020;04:00;749;6,8;1007
02.05.2020;05:00;747;7,2;1007
02.05.2020;06:00;747;7,1;1008
02.05.2020;07:00;734;8,4;1008
02.05.2020;08:00;726;9,3;1008
02.05.2020;09:00;723;10,0;1009
02.05.2020;10:00;721;11,2;1009
02.05.2020;11:00;724;9,8;1010
02.05.2020;12:00;717;9,8;1009
02.05.2020;13:00;720;9,6;1010
02.05.2020;14:00;723;6,6;1011
02.05.2020;15:00;719;10,4;1011
02.05.2020;16:00;722;10,2;1011
02.05.2020;17:00;720;11,2;1011
02.05.2020;18:00;722;11,8;1012
02.05.2020;19:00;725;10,8;1012
02.05.2020;20:00;735;9,4;1013
02.05.2020;21:00;756;8,0;1014
02.05.2020;22:00;763;8,0;1015
02.05.2020;23:00;767;8,0;1016
02.05.2020;24:00;774;7,8;1016
03.05.2020;01:00;799;7,6;1016
03.05.2020;02:00;822;7,4;1017
03.05.2020;03:00;816;6,4;1017
03.05.2020;04:00;827;4,6;1018
03.05.2020;05:00;855;3,0;1018
03.05.2020;06:00;864;2,4;1018
03.05.2020;07:00;819;4,8;1019
03.05.2020;08:00;775;8,0;1020
03.05.2020;09:00;740;11,4;1020
03.05.2020;10:00;728;12,4;1020
03.05.2020;11:00;724;13,1;1020
03.05.2020;12:00;723;14,2;1020
03.05.2020;13:00;721;14,4;1020
03.05.2020;14:00;719;15,6;1019
03.05.2020;15:00;722;16,1;1019
03.05.2020;16:00;720;16,5;1019
03.05.2020;17:00;720;17,2;1018
03.05.2020;18:00;721;16,2;1018
03.05.2020;19:00;722;15,3;1018
03.05.2020;20:00;752;13,3;1018
03.05.2020;21:00;813;9,9;1018
03.05.2020;22:00;906;8,6;1018
03.05.2020;23:00;910;8,6;1018
03.05.2020;24:00;923;8,9;1018
04.05.2020;01:00;981;8,9;1018
04.05.2020;02:00;967;8,9;1018
04.05.2020;03:00;1002;8,8;1017
04.05.2020;04:00;1003;8,8;1017
04.05.2020;05:00;1030;8,5;1017
04.05.2020;06:00;964;8,8;1016
04.05.2020;07:00;892;9,8;1016
04.05.2020;08:00;828;12,8;1017
04.05.2020;09:00;804;13,0;1017
04.05.2020;10:00;786;11,8;1017
04.05.2020;11:00;769;12,7;1017
04.05.2020;12:00;757;12,8;1017
04.05.2020;13:00;735;12,4;1018
04.05.2020;14:00;726;12,6;1018
04.05.2020;15:00;733;12,0;1018
04.05.2020;16:00;731;11,8;1018
04.05.2020;17:00;737;11,6;1019
04.05.2020;18:00;737;12,0;1019
04.05.2020;19:00;731;12,0;1019
04.05.2020;20:00;738;11,0;1019
04.05.2020;21:00;797;7,4;1020
04.05.2020;22:00;855;5,6;1020
04.05.2020;23:00;865;4,4;1020
04.05.2020;24:00;900;3,6;1021
05.05.2020;01:00;938;2,8;1021
05.05.2020;02:00;923;2,0;1021
05.05.2020;03:00;949;1,7;1020
05.05.2020;04:00;817;2,6;1021
05.05.2020;05:00;832;2,0;1021
05.05.2020;06:00;825;2,7;1021
05.05.2020;07:00;766;5,0;1021
05.05.2020;08:00;746;6,7;1021
05.05.2020;09:00;740;8,2;1021
05.05.2020;10:00;740;9,4;1021
05.05.2020;11:00;732;10,7;1021
05.05.2020;12:00;729;12,1;1021
05.05.2020;13:00;729;13,0;1021
05.05.2020;14:00;730;13,5;1020
05.05.2020;15:00;730;13,9;1020
05.05.2020;16:00;730;14,2;1020
05.05.2020;17:00;731;14,2;1020
05.05.2020;18:00;730;13,8;1020
05.05.2020;19:00;730;13,0;1020
05.05.2020;20:00;737;11,3;1021
05.05.2020;21:00;740;10,0;1021
05.05.2020;22:00;741;9,6;1022
05.05.2020;23:00;777;6,7;1023
05.05.2020;24:00;817;4,2;1024
06.05.2020;01:00;843;2,9;1024
06.05.2020;02:00;889;2,2;1024
06.05.2020;03:00;906;1,4;1024
06.05.2020;04:00;905;0,9;1024
06.05.2020;05:00;920;0,1;1025
06.05.2020;06:00;898;0,6;1025
06.05.2020;07:00;869;3,4;1026
06.05.2020;08:00;804;6,7;1026
06.05.2020;09:00;761;11,2;1026
06.05.2020;10:00;741;12,3;1026
06.05.2020;11:00;735;12,9;1026
06.05.2020;12:00;735;13,6;1026
06.05.2020;13:00;733;14,6;1025
06.05.2020;14:00;732;15,5;1025
06.05.2020;15:00;735;15,8;1025
06.05.2020;16:00;734;16,6;1024
06.05.2020;17:00;732;17,0;1024
06.05.2020;18:00;731;17,4;1024
06.05.2020;19:00;734;17,6;1024
06.05.2020;20:00;764;14,0;1024
06.05.2020;21:00;824;9,2;1024
06.05.2020;22:00;864;6,8;1025
06.05.2020;23:00;866;5,2;1025
06.05.2020;24:00;920;4,4;1026
07.05.2020;01:00;964;3,4;1026
07.05.2020;02:00;926;2,6;1026
07.05.2020;03:00;926;2,0;1026
07.05.2020;04:00;962;1,6;1026
07.05.2020;05:00;948;1,2;1026
07.05.2020;06:00;986;1,8;1026
07.05.2020;07:00;897;5,1;1026
07.05.2020;08:00;844;8,4;1026
07.05.2020;09:00;808;12,4;1026
07.05.2020;10:00;766;15,8;1025
07.05.2020;11:00;746;16,9;1025
07.05.2020;12:00;738;17,2;1025
07.05.2020;13:00;734;18,5;1024
07.05.2020;14:00;732;19,6;1024
07.05.2020;15:00;732;20,7;1024
07.05.2020;16:00;733;21,8;1022
07.05.2020;17:00;731;22,3;1022
07.05.2020;18:00;730;21,4;1022
07.05.2020;19:00;728;19,7;1021
07.05.2020;20:00;747;16,7;1021
07.05.2020;21:00;805;12,4;1021
07.05.2020;22:00;844;10,2;1021
07.05.2020;23:00;867;8,9;1021
07.05.2020;24:00;923;7,8;1021
08.05.2020;01:00;935;7,8;1021
08.05.2020;02:00;964;7,6;1020
08.05.2020;03:00;987;7,0;1020
08.05.2020;04:00;965;6,8;1020
08.05.2020;05:00;996;6,2;1020
08.05.2020;06:00;965;6,7;1020
08.05.2020;07:00;892;9,0;1020
08.05.2020;08:00;837;10,9;1020
08.05.2020;09:00;788;13,9;1020
08.05.2020;10:00;759;16,4;1020
08.05.2020;11:00;744;20,2;1019
08.05.2020;12:00;734;21,6;1019
08.05.2020;13:00;728;22,1;1018
08.05.2020;14:00;722;22,2;1018
08.05.2020;15:00;725;23,0;1018
08.05.2020;16:00;724;23,2;1017
08.05.2020;17:00;718;22,2;1016
08.05.2020;18:00;719;22,6;1016
08.05.2020;19:00;719;23,0;1016
08.05.2020;20:00;764;18,2;1016
08.05.2020;21:00;811;15,6;1016
08.05.2020;22:00;769;16,7;1016
08.05.2020;23:00;773;15,3;1016
08.05.2020;24:00;827;11,8;1017
09.05.2020;01:00;841;9,9;1017
09.05.2020;02:00;862;8,6;1016
09.05.2020;03:00;895;7,5;1016
09.05.2020;04:00;869;7,4;1016
09.05.2020;05:00;888;7,3;1016
09.05.2020;06:00;882;8,0;1015
09.05.2020;07:00;863;10,4;1016
09.05.2020;08:00;766;12,8;1015
09.05.2020;09:00;748;14,9;1015
09.05.2020;10:00;734;17,0;1015
09.05.2020;11:00;725;20,0;1014
09.05.2020;12:00;717;20,9;1014
09.05.2020;13:00;711;20,6;1014
09.05.2020;14:00;709;21,4;1014
09.05.2020;15:00;708;20,8;1013
09.05.2020;16:00;714;19,8;1013
09.05.2020;17:00;709;18,7;1012
09.05.2020;18:00;714;18,6;1012
09.05.2020;19:00;712;17,9;1011
09.05.2020;20:00;730;16,9;1011
09.05.2020;21:00;750;14,9;1012
09.05.2020;22:00;818;13,5;1012
09.05.2020;23:00;870;12,4;1011
09.05.2020;24:00;868;11,2;1011
10.05.2020;01:00;874;10,0;1010
10.05.2020;02:00;979;9,6;1010
10.05.2020;03:00;988;9,7;1009
10.05.2020;04:00;1015;9,2;1009
10.05.2020;05:00;982;8,8;1008
10.05.2020;06:00;1016;9,0;1008
10.05.2020;07:00;963;10,2;1008
10.05.2020;08:00;863;11,4;1008
10.05.2020;09:00;832;12,8;1008
10.05.2020;10:00;816;15,0;1008
10.05.2020;11:00;755;17,6;1008
10.05.2020;12:00;728;19,1;1007
10.05.2020;13:00;716;20,8;1007
10.05.2020;14:00;712;20,9;1006
10.05.2020;15:00;711;21,7;1006
10.05.2020;16:00;716;20,9;1005
10.05.2020;17:00;724;16,2;1006
10.05.2020;18:00;734;16,2;1006
10.05.2020;19:00;730;16,5;1006
10.05.2020;20:00;741;16,0;1005
10.05.2020;21:00;824;14,7;1006
10.05.2020;22:00;936;14,2;1006
10.05.2020;23:00;960;14,0;1006
10.05.2020;24:00;782;14,6;1006
11.05.2020;01:00;741;12,9;1006
11.05.2020;02:00;735;10,4;1006
11.05.2020;03:00;737;8,8;1006
11.05.2020;04:00;738;7,7;1006
11.05.2020;05:00;739;6,8;1007
11.05.2020;06:00;739;5,7;1008
11.05.2020;07:00;738;4,6;1008
11.05.2020;08:00;736;3,9;1008
11.05.2020;09:00;736;3,8;1008
11.05.2020;10:00;734;4,0;1008
11.05.2020;11:00;731;3,8;1009
11.05.2020;12:00;731;3,8;1009
11.05.2020;13:00;727;4,0;1009
11.05.2020;14:00;726;4,8;1009
11.05.2020;15:00;726;6,0;1010
11.05.2020;16:00;725;7,4;1010
11.05.2020;17:00;724;8,4;1010
11.05.2020;18:00;727;8,6;1011
11.05.2020;19:00;726;8,9;1012
11.05.2020;20:00;731;8,2;1013
11.05.2020;21:00;736;7,8;1014
11.05.2020;22:00;765;6,2;1016
11.05.2020;23:00;780;4,0;1016
11.05.2020;24:00;832;1,5;1017
12.05.2020;01:00;869;0,2;1018
12.05.2020;02:00;848;-0,6;1018
12.05.2020;03:00;888;-1,0;1019
12.05.2020;04:00;872;-1,2;1020
12.05.2020;05:00;882;-1,5;1020
12.05.2020;06:00;894;-1,0;1020
12.05.2020;07:00;834;1,8;1021
12.05.2020;08:00;784;5,1;1021
12.05.2020;09:00;754;7,3;1021
12.05.2020;10:00;742;8,5;1020
12.05.2020;11:00;736;9,0;1020
12.05.2020;12:00;735;10,0;1020
12.05.2020;13:00;733;11,6;1019
12.05.2020;14:00;731;12,0;1018
12.05.2020;15:00;730;12,2;1018
12.05.2020;16:00;729;12,8;1017
12.05.2020;17:00;729;12,6;1017
12.05.2020;18:00;728;12,8;1016
12.05.2020;19:00;728;12,6;1016
12.05.2020;20:00;737;11,1;1016
12.05.2020;21:00;775;8,0;1016
12.05.2020;22:00;824;5,6;1016
12.05.2020;23:00;846;4,1;1016
12.05.2020;24:00;861;3,2;1016
